spacestation_tileset.png																														
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
12	0	1	1	1	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	12
12	11				14	5	5	5	15								13	11											13	12
12	11					13	5	11									13	11											13	12
12	11					13	5	11				3	23	4			13	11											13	12
12	11	3	23	4		13	5	11				13	5	11			13	11											13	12
12	11	14	1	15		13	5	11				13	5	11			13	11											13	12
12	11					13	5	11		3	4	13	5	11			13	11	3	23	4								13	12
12	11					13	5	11		14	15	13	5	11			13	11	14	1	15								13	12
12	11					13	5	11				13	5	11			13	11									3	4	13	12
12	11					13	5	11				13	5	11			13	11									14	15	13	12
12	11					14	5	11				13	5	11			13	11											13	12
12	11						13	11		3	4	13	5	11			13	11											13	12
12	11						13	11		14	15	13	5	11			13	11							3	4			13	12
12	11					3	5	11				13	5	11			13	11							14	15			13	12
12	5	4				13	5	11				13	5	11		3	5	5	4										13	12
12	5	15				13	5	11				13	5	11		14	1	1	15										13	12
12	11									3	4	13	5	11								3	4						13	12
12	11									14	15	13	5	11								14	15						13	12
12	11											13	5	5	23	23	23	4											13	12
12	11					3	23	4				13	5	11	1	1	1	15											13	12
12	11					14	1	15				13	5	11															13	12
12	11											13	5	11															13	12
