spacestation_objects.png																														
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	12
12	11			48	9	48			0	9	0	48	9	48	9	50				0	9	0		0	9	0			13	12
12	11								22		22									22		22		22		22			13	12
12	11	10	11	12					22		22									22		22		22		22			13	12
12	11	32	33	34					22		22									22		22		22		22			13	12
12	11	54	55	56					44		44									22		22		22		22			13	12
12	11	76	77	78																22		22		22		22			13	12
12	11							91												22		22		22		22			13	12
12	11						91	113												22		22		22		22			13	12
12	11	0	91	0			89	91				93	94							44		44		22		22			13	12
12	11	44	113	44		91	113	113				115	116											22		22			13	12
12	11																							22		22			13	12
12	11																			0	9	0		44		44			13	12
12	11		48	9	48	0	9	0		22	9	22								22		22							13	12
12	11					44		44		22		22		22	9	22				22		22							13	12
12	11									22		22								44		44		0	9	0			13	12
12	11																							22		22			13	12
12	11												91				91	91						22		22			13	12
12	11		93	94						0	9	0	89				89	89		0	9	0		22		22		91	13	12
12	11	83	115	116						44		44	113				113	113		44		44		44		44		113	13	12
12	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	24	12
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
